field,cataid,ra,dec,z1,t1,r_x1,z2,t2,r_x2,spec_type,vis_type
G09,218757,140.75621,0.84809,0.238,47,9.9,0.25,44,9.1,ELG+ELG,Ef
G09,345974,131.75004,2.04437,0.207,46,11.2,0.231,45,8.5,ELG+ELG,Ef
G09,347499,137.94367,2.30107,0.316,45,8.9,0.381,47,5.9,ELG+ELG,SS
G09,348065,140.09571,2.3343,0.281,45,9.9,0.086,45,9.4,ELG+ELG,SS/M
G09,375506,129.51933,1.39028,0.24,46,13.5,0.419,46,7.5,ELG+ELG,SE/F
G09,376767,134.88888,1.50709,0.727,47,7.4,0.176,46,6.7,ELG+ELG,SS
G09,383053,139.68454,1.98081,0.189,45,9,0.671,47,7.6,ELG+ELG,S
G09,573744,129.951,-0.03694,0.144,45,11.5,0.13,45,9.2,ELG+ELG,SE/B
G09,574857,137.52142,-0.12759,0.105,45,12.1,0.3,44,9.4,ELG+ELG,M/SS
G09,599995,133.35229,0.32283,0.289,43,9.1,0.292,43,5.6,ELG+ELG,E
G09,641911,140.01479,-1.21574,0.096,46,9.9,0.22,45,9.1,ELG+ELG,SE
G09,3633744,138.918,-1.02683,0.343,45,7.4,0.44,46,5.1,ELG+ELG,ES
G09,3866435,136.82975,-1.99357,0.325,47,9.3,0.166,44,8.5,ELG+ELG,S
G09,3887215,136.64988,-1.59199,0.328,46,7,0.331,47,6.3,ELG+ELG,SS
G09,3904099,134.01279,-0.98051,0.217,46,11.5,0.242,47,6.5,ELG+ELG,SE
G12,32248,183.92221,-1.20294,0.085,47,14.9,0.328,45,7.5,ELG+ELG,SE
G12,40642,182.30704,-0.78791,0.278,47,12.2,0.184,45,8.6,ELG+ELG,M
G12,53931,175.69525,-0.31443,0.121,47,13.1,0.147,45,12.2,ELG+ELG,SS/F
G12,54130,176.85742,-0.30877,0.326,45,11.6,0.317,47,8.6,ELG+ELG,SE/F
G12,54523,178.36975,-0.30537,0.26,47,10.9,0.077,46,10,ELG+ELG,M
G12,55175,180.74654,-0.38792,0.357,47,7,0.409,47,6.7,ELG+ELG,SE
G12,124295,178.90833,-2.56675,0.28,47,11.2,0.179,44,10.2,ELG+ELG,M
G12,130523,177.73192,-2.10683,0.163,47,10.9,0.249,44,9.6,ELG+ELG,SE
G12,136907,176.30279,-1.74244,0.028,47,11.3,0.256,45,7.6,ELG+ELG,SE
G12,137783,179.51112,-1.69882,0.097,47,10.9,0.268,45,8.8,ELG+ELG,M/SS
G12,138368,181.94588,-1.82568,0.304,45,8.3,0.274,47,6.3,ELG+ELG,E
G12,138811,184.17454,-1.81681,0.45,47,8.6,0.074,45,5.9,ELG+ELG,S
G12,164995,179.40017,-2.87571,0.267,45,9.5,0.27,46,8,ELG+ELG,Q
G12,177278,176.08696,-1.86907,0.316,43,5.8,0.385,45,5.1,ELG+ELG,M
G12,185812,181.78058,-1.5484,0.313,47,10.1,0.181,46,9.4,ELG+ELG,ES
G12,186737,185.5935,-1.49532,0.301,43,8.1,0.297,45,5.9,ELG+ELG,M
G12,230803,181.08337,1.93953,0.166,44,10.2,0.243,45,9.2,ELG+ELG,ES
G12,231768,185.44796,1.94621,0.226,44,11.3,0.252,47,8.7,ELG+ELG,ES
G12,231785,185.53046,1.88483,0.112,44,9.1,0.346,47,6.4,ELG+ELG,M
G12,272227,178.47396,1.3207,0.078,47,10.2,0.23,44,10.1,ELG+ELG,SE
G12,289050,180.98801,1.78262,0.262,43,12.5,0.259,45,6.6,ELG+ELG,M
G12,396570,174.04408,1.44452,0.454,47,8.1,0.077,44,6.7,ELG+ELG,S/M
G12,559653,177.7595,-0.47629,0.124,44,10.1,0.259,44,9.4,ELG+ELG,SS/F
G12,560010,178.85871,-0.57989,0.225,47,12,0.054,47,9.7,ELG+ELG,SS/M
G12,583813,176.83237,-0.16391,0.137,45,7.3,0.109,47,5.9,ELG+ELG,Ef
G12,610529,180.54204,0.39134,0.256,45,11.3,0.701,47,7.3,ELG+ELG,Ef
G12,787196,177.01971,-1.87064,0.323,47,9.3,0.116,44,7.5,ELG+ELG,M
G12,947988,177.90113,-1.11874,0.295,44,7.4,0.136,45,6.3,ELG+ELG,SS
G15,63082,214.46454,-0.30878,0.251,47,12.3,0.124,45,8.8,ELG+ELG,SS/B
G15,65016,221.17254,-0.29001,0.239,46,12.9,0.286,46,11,ELG+ELG,S
G15,92523,216.62879,0.62516,0.125,46,7.9,0.1,47,7.5,ELG+ELG,S
G15,239143,216.51021,1.6082,0.084,45,8.6,0.294,44,5.9,ELG+ELG,S
G15,239721,218.71629,1.60518,0.199,47,9.6,0.056,47,8.9,ELG+ELG,SE/B
G15,240564,223.16475,1.38699,0.213,45,9.3,0.275,47,6.2,ELG+ELG,SE/Ef
G15,249903,213.33275,2.0285,0.176,47,9.7,0.179,43,7.1,ELG+ELG,S
G15,251526,219.06642,1.9784,0.063,46,8.5,0.283,45,7.5,ELG+ELG,S/M
G15,278240,215.80875,1.07883,0.393,44,7.9,0.282,47,5.4,ELG+ELG,EE
G15,297627,216.43496,1.38861,0.453,47,7.8,0.197,47,7.2,ELG+ELG,SS/M
G15,297645,216.57825,1.38436,0.316,47,12.8,0.004,44,6.3,ELG+ELG,SE/M
G15,320705,219.18917,1.74384,0.176,44,8.1,0.546,47,6.6,ELG+ELG,S
G15,343868,222.41704,2.17379,0.121,47,14.4,0.124,47,7.9,ELG+ELG,SS
G15,460386,211.94129,-1.80552,0.113,46,8.5,0.516,43,8.5,ELG+ELG,SE
G15,463638,213.94213,-1.18728,0.05,47,10.6,0.149,47,8.1,ELG+ELG,SE
G15,493692,221.9895,-1.36708,0.261,47,13,0.147,45,8.5,ELG+ELG,SS
G15,512280,218.33704,-1.0504,0.179,45,9.2,0.03,47,8.8,ELG+ELG,SS/B
G15,543716,212.59971,-0.92718,0.357,47,8.3,0.204,44,6.6,ELG+ELG,SS
G15,570323,223.22658,-0.58658,0.313,45,13.3,0.28,47,5.5,ELG+ELG,ES/Ef
G15,618687,216.50154,0.23066,0.15,47,13.2,0.084,47,9.5,ELG+ELG,SS
G15,884103,217.42279,-1.68879,0.793,47,8.5,0.018,47,7.4,ELG+ELG,SS
G02,1274050,32.82713,-9.86427,0.161,44,6.9,0.507,47,6.5,ELG+ELG,SS/Phi
G02,1320592,32.94087,-4.82006,0.07,47,11.7,0.162,46,10,ELG+ELG,SE
G02,1726233,36.65454,-8.52167,0.184,47,10.3,0.155,47,5.4,ELG+ELG,S
G02,1760310,35.95496,-6.11922,0.236,45,11.2,0.144,45,8.3,ELG+ELG,SS
G02,1771132,36.28483,-5.3921,0.297,46,10.1,0.231,44,6.9,ELG+ELG,S/M
G02,1779869,36.29463,-4.84248,0.309,44,6.2,0.46,46,5.8,ELG+ELG,EE
G02,1988308,38.11142,-5.96424,0.3,47,8.2,0.303,47,7.4,ELG+ELG,SS
G02,2007752,38.48246,-4.76219,0.355,47,8.4,0.034,44,6,ELG+ELG,S
G02,2308869,35.92083,-4.02211,0.237,47,11.2,0.264,47,10.1,ELG+ELG,SS
G23,5027548,341.34442,-30.14947,0.282,46,8.5,0.311,47,6.8,ELG+ELG,-
G23,7048497,342.86779,-32.27196,0.239,45,6.2,0.389,45,5.7,ELG+ELG,-
G23,7070361,350.69167,-31.32483,0.264,47,7.3,0.268,47,5.5,ELG+ELG,-
G23,7073988,346.66158,-31.16843,0.162,47,12.4,0.068,47,8.9,ELG+ELG,-
G23,7073990,346.66237,-31.16836,0.068,47,12.2,0.162,46,7.8,ELG+ELG,-
G09,196060,129.01621,-0.69336,0.293,40,8.7,0.051,46,5.6,ELG+PG,SE
G09,197073,133.78179,-0.7479,0.27,40,10.8,0.268,44,6.4,ELG+PG,EE
G09,209263,132.50596,0.0425,0.31,42,6.5,0.27,46,5.3,ELG+PG,Ef
G09,279369,136.79904,0.98044,0.284,40,8.5,0.238,46,7.2,ELG+PG,ES/Ef
G09,300500,129.87425,1.12844,0.153,44,9.5,0.158,40,7.4,ELG+PG,SS/Q
G09,324470,136.07796,1.68015,0.148,45,10.3,0.321,42,8.9,ELG+PG,SE/Phi
G09,345984,131.78108,2.12672,0.207,40,8.1,0.138,46,7.6,ELG+PG,ES
G09,348299,140.94438,2.24256,0.409,42,10.4,0.279,45,6.3,ELG+PG,SE
G09,371995,133.78987,0.98418,0.108,47,8.6,0.386,42,7.9,ELG+PG,M
G09,372810,137.79708,1.07694,0.301,40,8.9,0.22,45,6.4,ELG+PG,ES
G09,376791,135.11008,1.44247,0.198,40,10.4,0.149,46,9.1,ELG+PG,ES/M
G09,382083,135.24921,1.89325,0.098,47,8.5,0.217,40,7.1,ELG+PG,ES/M
G09,528021,140.98654,-0.87061,0.157,40,9.1,0.136,44,6.7,ELG+PG,ES/Ef
G09,599598,132.08975,0.21503,0.118,45,6.4,0.195,40,5.8,ELG+PG,SE
G09,599797,132.62096,0.25907,0.2,40,9.3,0.054,45,7.9,ELG+PG,Ef
G09,600968,138.08767,0.30248,0.053,46,10.9,0.316,42,8.2,ELG+PG,SE/Phi
G09,621991,129.85479,0.68659,0.145,40,7.2,0.078,45,5.8,ELG+PG,SE
G09,3612009,135.8195,-1.34174,0.313,46,7.2,0.452,40,6.1,ELG+PG,M
G09,3624490,132.09767,-0.85274,0.366,40,8.3,0.246,46,7.4,ELG+PG,M/Ef
G09,3886423,136.26788,-1.56631,0.224,47,13.5,0.284,40,7.2,ELG+PG,ES
G09,3913313,139.74904,-1.30614,0.223,46,11.1,0.226,40,10.3,ELG+PG,E
G12,7907,179.68421,0.82128,0.23,46,9.1,0.244,40,8.1,ELG+PG,SE
G12,9156,185.08025,0.71944,0.27,40,10.1,0.115,46,8.9,ELG+PG,ES
G12,39055,174.87917,-0.66397,0.096,44,5.2,0.439,40,5,ELG+PG,E
G12,55091,180.44258,-0.34558,0.239,40,7.6,0.169,45,7.5,ELG+PG,ES
G12,71566,185.16637,0.20776,0.287,40,11.5,0.259,47,6.5,ELG+PG,Phi
G12,84090,175.97379,0.48608,0.258,44,8.2,0.284,42,7.2,ELG+PG,SS/M/F
G12,97836,174.84862,0.90228,0.241,40,10.9,0.11,47,8.7,ELG+PG,E
G12,125217,183.07617,-2.50805,0.224,46,7.4,0.265,40,6,ELG+PG,E
G12,136782,176.11142,-1.77261,0.394,40,7,0.246,46,6.8,ELG+PG,SE
G12,138015,180.50629,-1.65407,0.267,40,10.9,0.25,47,5.2,ELG+PG,E
G12,172153,181.44675,-2.44182,0.514,43,6.2,0.567,42,5.5,ELG+PG,SE
G12,184530,176.70954,-1.43849,0.391,40,10.3,0.156,45,9.7,ELG+PG,SE
G12,185998,182.60063,-1.61024,0.414,40,9,0.288,45,7.4,ELG+PG,ES
G12,186085,182.89554,-1.64913,0.241,45,7.6,0.38,40,7,ELG+PG,E
G12,186516,184.85638,-1.53982,0.324,40,9.2,0.265,45,5.8,ELG+PG,SE/F
G12,220204,180.67683,1.56371,0.353,42,8,0.228,47,6.5,ELG+PG,ES
G12,272828,180.97808,1.4233,0.402,40,9.9,0.238,47,6.9,ELG+PG,Phi
G12,397097,176.71996,1.48606,0.156,40,8.5,0.152,44,6.5,ELG+PG,SE/F
G12,537363,184.95279,-0.87211,0.04,46,7.5,0.206,40,7.2,ELG+PG,SE/B
G12,585644,183.83021,-0.19625,0.404,40,9.4,0.256,46,7.8,ELG+PG,EE/Ef
G15,62459,213.06783,-0.25768,0.187,44,7.7,0.424,40,6.5,ELG+PG,E
G15,64181,218.48892,-0.31288,0.403,40,7.5,0.214,46,7.4,ELG+PG,ES
G15,78841,218.90942,0.12274,0.218,40,12.1,0.215,47,5.1,ELG+PG,ES
G15,250796,216.02125,2.13975,0.199,40,10.2,0.132,45,6.4,ELG+PG,Ef
G15,262626,220.31992,2.41527,0.287,40,6.9,0.028,44,6,ELG+PG,SE/B
G15,266240,216.94617,2.79181,0.297,45,6.1,0.378,40,5.3,ELG+PG,ES
G15,296898,213.92688,1.53891,0.16,40,11,0.045,47,8.5,ELG+PG,M/Ef
G15,321208,221.87658,1.67057,0.358,40,7.8,0.286,46,5.2,ELG+PG,EE
G15,367197,220.31267,2.92665,0.212,40,6.8,0.098,44,5.9,ELG+PG,Ef
G15,508211,216.27379,-1.59829,0.289,40,8.4,0.278,47,6.7,ELG+PG,SE
G15,513306,223.07412,-1.01726,0.211,46,11.3,0.32,42,8.2,ELG+PG,ES/Ef
G15,544985,217.81129,-0.90871,0.402,40,8.4,0.4,45,5.4,ELG+PG,Ef
G15,545139,218.38854,-1.00978,0.241,46,6.5,0.323,40,6,ELG+PG,SE
G15,545712,220.81617,-0.88778,0.45,42,9.4,0.216,46,7.2,ELG+PG,ES/M
G02,1217811,33.6095,-4.23305,0.181,40,7.1,0.154,44,6.6,ELG+PG,Phi
G02,1298084,32.37917,-6.37684,0.238,47,6.1,0.273,40,6,ELG+PG,EE
G02,1440776,31.98304,-4.41341,0.209,45,6.3,0.64,40,5.9,ELG+PG,EE
G02,1614527,35.88917,-8.47218,0.283,40,11.6,0.195,45,5.1,ELG+PG,Ef/S
G02,1675035,35.41175,-4.48197,0.258,40,7.7,0.08,46,5.8,ELG+PG,Ef/ES
G02,1740396,36.36688,-9.35231,0.196,47,12.3,0.445,40,6.3,ELG+PG,SE
G02,1765570,36.16213,-5.76612,0.231,40,7.4,0.162,44,6.3,ELG+PG,ES
G02,2002618,38.30588,-5.07329,0.348,42,9.7,0.256,45,6.2,ELG+PG,SE
G02,2379807,37.16025,-4.03447,0.333,40,10.8,0.329,46,8.6,ELG+PG,Ef
G23,5006684,343.38587,-33.71781,0.219,40,9.6,0.208,47,8.5,ELG+PG,-
G23,7014061,343.38537,-33.71829,0.208,46,9.9,0.224,40,8,ELG+PG,-
G23,7023086,346.05408,-33.30514,0.212,40,7.8,0.188,45,7,ELG+PG,-
G23,7046392,343.18829,-32.36551,0.289,40,9.3,0.116,46,6,ELG+PG,-
G23,7069205,342.01071,-31.37594,0.261,46,8.9,0.432,40,6.5,ELG+PG,-
G23,7076874,346.36892,-31.04973,0.27,40,8.4,0.088,45,7.5,ELG+PG,-
G23,7093351,344.23937,-30.36704,0.449,40,7.7,0.325,47,7.2,ELG+PG,-
G09,198082,138.2815,-0.66673,0.163,40,11.1,0.321,47,10.2,PG+ELG,ES
G09,202448,129.69546,-0.38179,0.418,40,9,0.738,45,5,PG+ELG,SE
G09,204140,136.63883,-0.35203,0.282,40,9.4,0.449,47,8.1,PG+ELG,Ef
G09,209222,132.36771,0.1636,0.128,40,10.3,0.603,47,6.7,PG+ELG,E
G09,209295,132.61013,0.11972,0.313,40,11.2,0.608,47,7.8,PG+ELG,Ef
G09,209584,134.02979,0.15244,0.167,46,12,0.158,40,7.9,PG+ELG,SE
G09,279956,140.14187,0.97341,0.586,47,6,0.336,40,5.9,PG+ELG,ES
G09,301818,135.32929,1.22984,0.487,47,10.6,0.247,40,10,PG+ELG,SE/M
G09,302719,138.94058,1.33144,0.593,47,6.5,0.404,42,6.4,PG+ELG,SS
G09,323200,130.73717,1.55957,0.416,47,9.7,0.35,40,6.7,PG+ELG,EE
G09,323247,131.02333,1.64814,0.164,40,10.6,0.229,46,8.5,PG+ELG,SE
G09,325026,138.257,1.72137,0.329,40,7.1,0.336,45,6.3,PG+ELG,ES/Ef
G09,325108,138.62475,1.87141,0.202,46,9.1,0.165,40,7,PG+ELG,Ef
G09,371208,130.50925,1.02071,0.077,40,7.7,0.699,46,6,PG+ELG,SS
G09,377212,136.80625,1.64392,0.283,40,12.3,0.308,44,5.6,PG+ELG,EE/M
G09,377486,137.90642,1.62916,0.169,40,10.7,0.334,46,5,PG+ELG,E
G09,380839,130.27629,1.72911,0.361,42,8.4,0.387,47,7.3,PG+ELG,EE
G09,382857,138.7635,2.04159,0.341,40,6.1,0.358,46,4.9,PG+ELG,ES
G09,383284,140.6575,2.13736,0.194,40,9.7,0.342,47,5.8,PG+ELG,ES
G09,388201,138.99892,2.51429,0.167,40,10,0.299,44,8.2,PG+ELG,ES
G09,417645,132.51888,2.29438,0.108,40,12.4,0.457,45,5.8,PG+ELG,S
G09,419678,140.98671,2.86084,0.569,40,8.2,0.662,47,7.4,PG+ELG,E
G09,422882,132.81062,2.83784,0.308,45,9.4,0.212,40,7.8,PG+ELG,SS
G09,573657,129.41362,-0.01039,0.274,40,7.2,0.657,46,6.8,PG+ELG,E
G09,574390,135.66788,-0.13742,0.223,40,11.6,0.229,46,5.5,PG+ELG,X
G09,575653,140.77658,-0.11463,0.32,40,11,0.481,47,6.1,PG+ELG,Ef
G09,663372,140.42683,-1.09201,0.331,45,6.6,0.224,40,6.4,PG+ELG,Ef
G09,905359,139.63437,-0.60728,0.585,40,6.5,0.757,47,6.2,PG+ELG,E
G09,3576902,129.95892,-1.63319,0.268,45,9.7,0.187,40,7.3,PG+ELG,M
G09,3626956,134.23367,-0.80412,0.736,47,6.6,0.267,42,6.5,PG+ELG,Ef
G09,3632403,138.10708,-0.95852,0.315,40,10.1,0.444,47,8.5,PG+ELG,Ef
G09,3884455,135.10842,-1.60189,0.411,42,9.2,0.44,47,7.4,PG+ELG,Ef
G09,3909630,137.37821,-1.17997,0.227,40,10.2,0.328,44,8.2,PG+ELG,SS/M
G12,7242,176.29229,0.73915,0.529,40,8.3,0.642,47,8.2,PG+ELG,E
G12,22278,176.96358,1.2031,0.094,40,8.5,0.712,47,6,PG+ELG,S
G12,22559,178.05237,1.05246,0.283,45,8.8,0.157,40,7.7,PG+ELG,SE
G12,71072,182.90017,0.17959,0.255,45,6.2,0.122,40,5.6,PG+ELG,SS
G12,98399,177.78321,0.91949,0.4,40,8.9,0.569,47,7.3,PG+ELG,SE
G12,98624,179.06704,0.99197,0.259,40,11.7,0.27,47,5.5,PG+ELG,E
G12,99508,183.13442,1.00244,0.214,40,9.5,0.744,43,5,PG+ELG,M
G12,130303,176.78942,-2.18512,0.435,47,7.7,0.398,40,7.5,PG+ELG,SE
G12,131725,182.36783,-2.24046,0.63,46,9.7,0.179,40,8.2,PG+ELG,E
G12,136800,176.05287,-1.77459,0.264,40,11.7,0.589,47,7.8,PG+ELG,M
G12,164640,178.14021,-2.71487,0.078,40,11.6,0.153,45,6.7,PG+ELG,SS
G12,185604,180.96967,-1.46278,0.265,40,10.6,0.273,47,9.5,PG+ELG,SE/F
G12,220682,182.7435,1.59787,0.289,40,9.8,0.361,47,9.8,PG+ELG,Ef
G12,220854,183.53083,1.55306,0.266,40,9.6,0.327,46,9.2,PG+ELG,SE
G12,231043,182.16688,1.9984,0.16,40,10.1,0.689,47,8.9,PG+ELG,Ef
G12,231307,183.15171,1.97018,0.19,40,12.2,0.218,47,6.7,PG+ELG,Ef
G12,231746,185.33296,1.92256,0.423,40,9.5,0.46,47,6.9,PG+ELG,ES/Ef
G12,273903,185.65375,1.33724,0.217,40,10.1,0.415,46,6.6,PG+ELG,E
G12,289278,181.64301,1.74123,0.294,42,10.9,0.701,45,5,PG+ELG,ES
G12,402278,174.23017,1.89732,0.138,40,10.2,0.204,45,5.7,PG+ELG,SS
G12,560475,180.41129,-0.48254,0.165,40,9.9,0.543,47,6.5,PG+ELG,EE
G12,560853,181.98808,-0.52788,0.224,40,7.1,0.682,47,5.4,PG+ELG,Ef
G12,583469,175.01863,-0.14991,0.314,40,11.2,0.747,47,7.4,PG+ELG,Ef
G12,586392,184.62887,-0.18264,0.456,45,7.8,0.307,40,6.5,PG+ELG,Ef
G12,586648,185.72429,-0.20906,0.697,47,10.3,0.287,40,9.7,PG+ELG,Ef
G12,610029,178.25696,0.30019,0.365,40,9,0.391,47,5.7,PG+ELG,SE
G12,690020,179.39604,-1.13984,0.263,40,8.8,0.348,47,6.4,PG+ELG,ES/Q
G12,814991,181.52958,1.93496,0.223,40,8.3,0.297,44,5.3,PG+ELG,Ef
G15,14983,213.6345,0.74998,0.273,40,10.4,0.528,47,9.5,PG+ELG,EE
G15,15221,214.61879,0.62943,0.232,40,10.9,0.279,47,7.7,PG+ELG,SE
G15,15554,215.97479,0.67592,0.142,40,7.7,0.227,46,6.4,PG+ELG,SE
G15,48883,218.90542,-0.74389,0.343,46,9.1,0.245,40,8.6,PG+ELG,SE
G15,65298,222.49875,-0.40713,0.253,40,8.7,0.649,47,8.3,PG+ELG,E
G15,77892,215.20808,0.17706,0.316,40,9,0.62,45,5.7,PG+ELG,E
G15,106821,217.327,0.86711,0.16,40,9.8,0.452,47,6.2,PG+ELG,E
G15,238715,215.06083,1.60423,0.19,40,11,0.243,45,9.3,PG+ELG,M
G15,239367,217.45604,1.52598,0.284,40,10.2,0.379,45,8.5,PG+ELG,ES
G15,250209,214.17046,2.07386,0.553,47,7.1,0.386,40,6.6,PG+ELG,Ef
G15,250487,214.82401,2.12522,0.304,44,7.1,0.269,40,5.9,PG+ELG,EE
G15,251342,218.22696,1.97782,0.439,40,7.1,0.466,43,5.8,PG+ELG,EE
G15,298899,222.14058,1.16504,0.319,40,7,0.374,47,6.3,PG+ELG,E
G15,319348,214.14233,1.86348,0.266,40,8.6,0.286,46,7.2,PG+ELG,SE
G15,319416,214.38538,1.9114,0.051,40,8.3,0.245,43,6.5,PG+ELG,S
G15,320384,218.13475,1.68924,0.109,40,8.4,0.192,46,7.8,PG+ELG,SS
G15,320557,218.63421,1.78566,0.274,40,11.1,0.279,46,7.2,PG+ELG,EE
G15,342308,215.069,2.22422,0.391,45,9.6,0.328,40,5.9,PG+ELG,SE
G15,460463,212.48058,-1.61746,0.115,40,10.8,0.411,47,6.8,PG+ELG,SE/Ef
G15,460713,213.41046,-1.64736,0.429,47,9.4,0.308,40,6.4,PG+ELG,ES
G15,485756,217.11896,-1.79492,0.269,40,11.5,0.404,47,6.2,PG+ELG,EE
G15,508116,215.95117,-1.68131,0.202,40,7.8,0.305,44,6.9,PG+ELG,ES/Ef
G15,617535,211.95117,0.23064,0.51,47,8,0.262,40,6,PG+ELG,Ef
G15,617856,213.49346,0.35214,0.231,40,11.7,0.262,47,6.7,PG+ELG,SE
G02,1126606,33.89513,-6.55139,0.217,40,9.8,0.749,43,5.1,PG+ELG,SE
G02,1270758,32.65929,-10.07633,0.144,40,9.7,0.698,43,5.6,PG+ELG,S
G02,1312058,32.29279,-5.43011,0.417,40,8.2,0.619,47,7.1,PG+ELG,Ef
G02,1569977,30.69342,-4.01222,0.331,40,10.3,0.436,47,5.3,PG+ELG,Ef
G02,1684064,35.62492,-3.87688,0.614,47,8.4,0.292,40,6.6,PG+ELG,SE/M
G02,1763319,36.37075,-5.91766,0.294,40,7.2,0.319,44,6.6,PG+ELG,SS
G02,2005629,37.92875,-4.88681,0.189,40,6.9,0.716,45,5.9,PG+ELG,SE/S
G02,2248952,30.82808,-7.63584,0.242,40,5.4,0.328,45,5.2,PG+ELG,ES
G23,5000687,344.09237,-34.88054,0.199,42,8.7,0.326,47,7.5,PG+ELG,-
G23,5014213,350.01962,-32.35935,0.202,42,10.3,0.785,43,6,PG+ELG,-
G23,5022159,347.44408,-31.04443,0.213,40,8,0.235,45,6.1,PG+ELG,-
G23,5026858,340.90525,-30.26776,0.151,40,8.4,0.282,44,5.5,PG+ELG,-
G23,7021723,345.68529,-33.36733,0.221,40,10.8,0.319,47,6.9,PG+ELG,-
G23,7028850,342.77721,-33.04329,0.321,40,6.6,0.328,47,6.2,PG+ELG,-
G23,7035191,346.47717,-32.81103,0.634,43,8,0.188,40,5.9,PG+ELG,-
G23,7056621,342.57587,-31.90962,0.388,40,6.6,0.425,47,6.2,PG+ELG,-
G23,7061088,342.12237,-31.71619,0.24,40,7.7,0.243,44,6.6,PG+ELG,-
G23,7081863,340.21004,-30.82531,0.287,45,9.6,0.217,40,8.5,PG+ELG,-
G23,7083868,343.978,-30.75893,0.359,40,6.7,0.722,47,6.6,PG+ELG,-
G09,300979,131.46746,1.19884,0.146,40,6.8,0.716,40,5.8,PG+PG,SE
G09,302123,136.46358,1.31167,0.47,40,6.7,0.646,40,6.3,PG+PG,E
G09,386427,132.24292,2.24817,0.209,42,7.5,0.393,40,6.6,PG+PG,EE
G09,387615,137.19829,2.40849,0.281,40,10.5,0.549,42,5.1,PG+PG,E/Ef
G09,417922,134.097,2.49636,0.198,40,9.1,0.615,42,6.5,PG+PG,Ef
G09,425637,129.15721,2.86991,0.511,42,8,0.282,40,6.1,PG+PG,Ef
G09,599770,132.67583,0.34792,0.191,40,7.7,0.333,40,7.6,PG+PG,SE
G09,622326,132.66296,0.63611,0.378,42,7.5,0.234,40,7.1,PG+PG,EE/Ef
G09,3579777,131.41271,-1.66217,0.258,40,7.9,0.869,42,5.3,PG+PG,Ef
G09,3890035,138.55021,-1.68663,0.259,40,9.1,0.868,42,6,PG+PG,Ef
G12,39870,178.62517,-0.72424,0.312,40,10.1,0.227,40,6.5,PG+PG,SE
G12,289265,181.63046,1.82378,0.295,40,9.1,0.292,40,7.3,PG+PG,ES
G12,559147,175.88608,-0.43995,0.351,40,9.9,0.803,42,5.4,PG+PG,EE
G12,585446,182.74083,-0.13542,0.345,42,7.5,0.331,40,6.3,PG+PG,SE
G12,746445,179.08296,-0.20491,0.107,40,9.7,0.645,42,5.5,PG+PG,EE
G15,17244,222.50238,0.81555,0.447,40,7.2,0.496,42,4.7,PG+PG,SE
G15,262987,222.23792,2.38034,0.562,42,7.6,0.207,40,7.1,PG+PG,ES/Ef
G15,298302,219.30533,1.41623,0.403,40,6.5,0.15,40,6,PG+PG,EE
G15,298316,219.34801,1.28769,0.333,40,7.4,0.329,40,6.8,PG+PG,ES
G15,320078,216.84646,1.88291,0.348,42,7.5,0.292,42,7.5,PG+PG,EE/M
G15,362394,214.88958,2.70961,0.394,42,7.9,0.315,40,6.4,PG+PG,E/Ef
G15,544875,217.28529,-0.9494,0.394,42,8.1,0.494,40,5.3,PG+PG,EE
G15,592207,212.01942,-0.07878,0.256,40,8.3,0.178,40,7.3,PG+PG,Ef
G02,1537351,30.80412,-6.04563,0.424,40,6.6,0.622,42,6.5,PG+PG,EE
G02,1568229,30.69258,-4.13571,0.291,40,5.9,0.413,40,5.8,PG+PG,ES/Ef
G23,7019633,349.60625,-33.45856,0.165,40,8.7,0.187,40,8.3,PG+PG,-
G23,7032116,341.93799,-32.92324,0.672,40,7,0.476,40,6.5,PG+PG,-