CATAID,ra,dec,z1,z2,logMstarWISE,R_ein,Filter
71072,182.9,0.17959,0.255,0.122,10.67348742,0.628834017,F775W
164640,178.14,-2.71487,0.078,0.153,10.49654113,0.62540253,F775W
22559,178.052,1.05246,0.283,0.157,9.868308186,0.201965751,F775W
325108,138.625,1.87141,0.202,0.165,10.58758664,0.2900386,F775W
320384,218.135,1.68924,0.109,0.192,10.13781705,0.327809349,F775W
402278,174.23,1.89732,0.138,0.204,10.10728425,0.242815236,F845M
15554,215.975,0.67592,0.142,0.227,10.16020927,0.273396834,F845M
574390,135.668,-0.13742,0.223,0.229,10.86203362,0.128826744,F845M
323247,131.023,1.64814,0.164,0.229,10.72645389,0.424466933,F845M
5022159,347.444,-31.04443,0.213,0.235,10.8980602,0.259783754,F845M
5305885,347.444,-31.0444,0.213,0.235,10.8980602,0.259783754,F845M
238715,215.061,1.60423,0.19,0.243,10.86216767,0.403244709,F845M
5327168,348.69,-31.531,0.1955,0.2438,10.66927611,0.303307489,F845M
319416,214.385,1.9114,0.051,0.245,9.709172524,0.397085212,F845M
98624,179.067,0.99197,0.259,0.27,10.76136543,0.132162874,F845M
185604,180.97,-1.46278,0.265,0.273,10.85227208,0.12297143,F845M
5278488,345.708,-31.6132,0.1017,0.2789,10.74643759,0.827500246,F845M
15221,214.619,0.62943,0.232,0.279,10.7870967,0.292845027,F845M
5026858,340.905,-30.26776,0.151,0.282,10.59692575,0.486942501,F845M
5287619,346.682,-34.8419,0.2036,0.2837,10.82502467,0.423472399,F845M
319348,214.142,1.86348,0.266,0.286,10.46001658,0.120606635,F845M
814991,181.53,1.93496,0.223,0.297,10.40299362,0.233365412,F845M
388201,138.999,2.51429,0.167,0.299,10.77676171,0.554198811,F845M
508116,215.951,-1.68131,0.202,0.305,10.60382664,0.360122371,F845M
5151434,345.685,-33.3673,0.2208,0.3188,10.56157446,0.312398771,F845M
7021723,345.685,-33.36733,0.221,0.319,10.56247082,0.312474231,F845M
198082,138.282,-0.66673,0.163,0.321,10.71393858,0.550712902,F845M
5000687,344.092,-34.88054,0.199,0.326,10.34320653,0.288479022,F845M
5251563,344.092,-34.8805,0.1993,0.3265,10.3446857,0.288746162,F845M
3909630,137.378,-1.17997,0.227,0.328,10.48538052,0.282214869,F845M
2248952,30.828,-7.63584,0.242,0.328,10.76331218,0.3469434,F845M
377486,137.906,1.62916,0.169,0.334,10.220379,0.306668327,F845M
383284,140.658,2.13736,0.194,0.342,10.51612642,0.375670891,F845M
460463,212.481,-1.61746,0.115,0.411,10.18338006,0.431360239,F098M
273903,185.654,1.33724,0.217,0.415,10.39360009,0.32230139,F098M
106821,217.327,0.86711,0.16,0.452,10.37434893,0.429021408,F098M
417645,132.519,2.29438,0.108,0.457,10.05663095,0.396035895,F098M
5287452,346.73,-34.8736,0.2064,0.4942,10.7602271,0.555776787,F098M
560475,180.411,-0.48254,0.165,0.543,10.68145592,0.622627511,F098M
209222,132.368,0.1636,0.128,0.603,10.87140627,0.938876355,F098M
5297680,346.477,-32.811,0.1879,0.634,10.63921929,0.555841319,F098M
65298,222.499,-0.40713,0.253,0.649,10.81032386,0.538707862,F098M
231043,182.167,1.9984,0.16,0.689,10.02330893,0.310366389,F098M
1270758,32.659,-10.07633,0.144,0.698,10.76540459,0.783261949,F098M
371208,130.509,1.02071,0.077,0.699,10.35871677,0.717313699,F098M
2005629,37.929,-4.88681,0.189,0.716,10.70520614,0.610231933,F105W
99508,183.134,1.00244,0.214,0.744,10.49716477,0.442222953,F105W
1126606,33.895,-6.55139,0.217,0.749,10.23852009,0.325409166,F105W
5014213,350.02,-32.35935,0.202,0.785,10.85222664,0.699881888,F105W
5363861,350.02,-32.3593,0.2022,0.7854,10.85319949,0.700235211,F105W