,Name,logMstarChab
0,SDSSJ0008$-$0004,11.38
1,SDSSJ0029$-$0055,11.33
2,SDSSJ0037$-$0942,11.48
3,SDSSJ0044$+$0113,11.23
4,SDSSJ0109$+$1500,NaN
5,SDSSJ0157$-$0056,11.5
6,SDSSJ0216$-$0813,11.79
7,SDSSJ0252$+$0039,11.21
8,SDSSJ0330$-$0020,11.35
9,SDSSJ0405$-$0455,NaN
10,SDSSJ0728$+$3835,11.44
11,SDSSJ0737$+$3216,11.72
12,SDSSJ0808$+$4706,11.26
13,SDSSJ0819$+$4534,11.15
14,SDSSJ0822$+$2652,11.43
15,SDSSJ0841$+$3824,11.41
16,SDSSJ0903$+$4116,11.59
17,SDSSJ0912$+$0029,11.71
18,SDSSJ0935$-$0003,11.72
19,SDSSJ0936$+$0913,11.43
20,SDSSJ0946$+$1006,11.34
21,SDSSJ0955$+$0101,10.77
22,SDSSJ0956$+$5100,11.56
23,SDSSJ0959$+$4416,11.47
24,SDSSJ0959$+$0410,10.91
25,SDSSJ1016$+$3859,11.23
26,SDSSJ1020$+$1122,11.54
27,SDSSJ1023$+$4230,11.33
28,SDSSJ1029$+$0420,11.04
29,SDSSJ1029$+$6115,11.49
30,SDSSJ1032$+$5322,10.9
31,SDSSJ1100$+$5329,11.59
32,SDSSJ1103$+$5322,11.29
33,SDSSJ1106$+$5228,11.13
34,SDSSJ1112$+$0826,11.48
35,SDSSJ1134$+$6027,11.26
36,SDSSJ1142$+$1001,11.3
37,SDSSJ1143$-$0144,11.36
38,SDSSJ1153$+$4612,11.08
39,SDSSJ1204$+$0358,11.2
40,SDSSJ1205$+$4910,11.48
41,SDSSJ1213$+$6708,11.24
42,SDSSJ1218$+$0830,11.35
43,SDSSJ1250$+$0523,11.53
44,SDSSJ1250$-$0135,11.13
45,SDSSJ1251$-$0208,11.26
46,SDSSJ1259$+$6134,11.5
47,SDSSJ1306$+$0600,11.19
48,SDSSJ1313$+$4615,11.33
49,SDSSJ1313$+$0506,10.92
50,SDSSJ1318$-$0313,11.43
51,SDSSJ1319$+$1504,10.94
52,SDSSJ1330$-$0148,10.43
53,SDSSJ1402$+$6321,11.55
54,SDSSJ1403$+$0006,11.2
55,SDSSJ1416$+$5136,11.4
56,SDSSJ1420$+$6019,10.93
57,SDSSJ1430$+$4105,11.68
58,SDSSJ1432$+$6317,11.46
59,SDSSJ1436$+$3640,NaN
60,SDSSJ1436$-$0000,11.45
61,SDSSJ1443$+$0304,10.87
62,SDSSJ1451$-$0239,11.17
63,SDSSJ1525$+$3327,11.78
64,SDSSJ1531$-$0105,11.43
65,SDSSJ1538$+$5817,11.03
66,SDSSJ1614$+$4522,11.21
67,SDSSJ1618$+$4353,11.14
68,SDSSJ1621$+$3931,11.45
69,SDSSJ1627$-$0053,11.45
70,SDSSJ1630$+$4520,11.61
71,SDSSJ1636$+$4707,11.38
72,SDSSJ1644$+$2625,11.18
73,SDSSJ1709$+$2324,NaN
74,SDSSJ1718$+$6424,10.89
75,SDSSJ1719$+$2939,11.22
76,SDSSJ2141$-$0001,NaN
77,SDSSJ2238$-$0754,11.2
78,SDSSJ2300$+$0022,11.4
79,SDSSJ2302$-$0840,11.04
80,SDSSJ2303$+$1422,11.47
81,SDSSJ2321$-$0939,11.35
82,SDSSJ2341$+$0000,11.48
83,SDSSJ2343$-$0030,NaN
84,SDSSJ2347$-$0005,11.58