,Name,z_lens
0,SDSSJ0008$-$0004,0.44
1,SDSSJ0029$-$0055,0.227
2,SDSSJ0037$-$0942,0.195
3,SDSSJ0044$+$0113,0.12
4,SDSSJ0109$+$1500,0.294
5,SDSSJ0157$-$0056,0.513
6,SDSSJ0216$-$0813,0.332
7,SDSSJ0252$+$0039,0.28
8,SDSSJ0330$-$0020,0.351
9,SDSSJ0405$-$0455,0.075
10,SDSSJ0728$+$3835,0.206
11,SDSSJ0737$+$3216,0.322
12,SDSSJ0808$+$4706,0.219
13,SDSSJ0819$+$4534,0.194
14,SDSSJ0822$+$2652,0.241
15,SDSSJ0841$+$3824,0.116
16,SDSSJ0903$+$4116,0.43
17,SDSSJ0912$+$0029,0.164
18,SDSSJ0935$-$0003,0.347
19,SDSSJ0936$+$0913,0.19
20,SDSSJ0946$+$1006,0.222
21,SDSSJ0955$+$0101,0.111
22,SDSSJ0956$+$5100,0.241
23,SDSSJ0959$+$4416,0.237
24,SDSSJ0959$+$0410,0.126
25,SDSSJ1016$+$3859,0.168
26,SDSSJ1020$+$1122,0.282
27,SDSSJ1023$+$4230,0.191
28,SDSSJ1029$+$0420,0.104
29,SDSSJ1029$+$6115,0.157
30,SDSSJ1032$+$5322,0.133
31,SDSSJ1100$+$5329,0.317
32,SDSSJ1103$+$5322,0.158
33,SDSSJ1106$+$5228,0.095
34,SDSSJ1112$+$0826,0.273
35,SDSSJ1134$+$6027,0.153
36,SDSSJ1142$+$1001,0.222
37,SDSSJ1143$-$0144,0.106
38,SDSSJ1153$+$4612,0.18
39,SDSSJ1204$+$0358,0.164
40,SDSSJ1205$+$4910,0.215
41,SDSSJ1213$+$6708,0.123
42,SDSSJ1218$+$0830,0.135
43,SDSSJ1250$+$0523,0.232
44,SDSSJ1250$-$0135,0.087
45,SDSSJ1251$-$0208,0.224
46,SDSSJ1259$+$6134,0.233
47,SDSSJ1306$+$0600,0.173
48,SDSSJ1313$+$4615,0.185
49,SDSSJ1313$+$0506,0.144
50,SDSSJ1318$-$0313,0.24
51,SDSSJ1319$+$1504,0.154
52,SDSSJ1330$-$0148,0.081
53,SDSSJ1402$+$6321,0.205
54,SDSSJ1403$+$0006,0.189
55,SDSSJ1416$+$5136,0.299
56,SDSSJ1420$+$6019,0.063
57,SDSSJ1430$+$4105,0.285
58,SDSSJ1432$+$6317,0.123
59,SDSSJ1436$+$3640,0.185
60,SDSSJ1436$-$0000,0.285
61,SDSSJ1443$+$0304,0.134
62,SDSSJ1451$-$0239,0.125
63,SDSSJ1525$+$3327,0.358
64,SDSSJ1531$-$0105,0.16
65,SDSSJ1538$+$5817,0.143
66,SDSSJ1614$+$4522,0.178
67,SDSSJ1618$+$4353,0.199
68,SDSSJ1621$+$3931,0.245
69,SDSSJ1627$-$0053,0.208
70,SDSSJ1630$+$4520,0.248
71,SDSSJ1636$+$4707,0.228
72,SDSSJ1644$+$2625,0.137
73,SDSSJ1709$+$2324,0.347
74,SDSSJ1718$+$6424,0.09
75,SDSSJ1719$+$2939,0.181
76,SDSSJ2141$-$0001,0.138
77,SDSSJ2238$-$0754,0.137
78,SDSSJ2300$+$0022,0.228
79,SDSSJ2302$-$0840,0.09
80,SDSSJ2303$+$1422,0.155
81,SDSSJ2321$-$0939,0.082
82,SDSSJ2341$+$0000,0.186
83,SDSSJ2343$-$0030,0.181
84,SDSSJ2347$-$0005,0.417